Protein Names	Gene Names	mRNA copy number experiment [molecules/cell]	Protein copy number experiment [molecules/cell]
Nucleoporin Nup37	Nup37	18.16	113401.72
Nucleoporin Nup43	Nup43	15.39	163224.02
Nucleoporin NUP53	Nup35		376208.81
Nucleoporin NUP85	Nup85	54.06	87299.05
Nucleoporin p54	Nup54	20.54	175044.32
Nucleoporin p58/p45	Nupl1	13.02	36117.31
Nucleoredoxin	Nxn	12.13	61329.05
Nucleoside diphosphate kinase 6	Nme6	13.61	4086.03
Nucleoside diphosphate kinase A	Nme1	177.38	21833234.56
Nucleoside diphosphate kinase B	Nme2	557.57	7050003.66
Nucleoside diphosphate kinase, mitochondrial	Nme4	11.32	24868.61
Nucleoside diphosphate-linked moiety X motif 8, mitochondrial	Nudt8	11.89	3529.86
Nucleosome assembly protein 1-like 1	Nap1l1	66.28	1369356.99
Nucleosome-binding protein 1	Nsbp1	10.33	8964.91
Nucleotide-binding protein 1	Nubp1	17.28	60768.64
Nucleotide-binding protein 2	Nubp2	24.71	114365.45
Nucleus accumbens-associated protein 1	Nacc1	31.98	2790.53
NudC domain-containing protein 1	Nudcd1	17	133001.17
NudC domain-containing protein 3	Nudcd3	20.73	48465.04
Nup98 protein	Nup98	24.06	5610.27
Nup98 protein	Nup98		72012.32
Nurim	Nrm	5.19	35442.43
Obg-like ATPase 1	Ola1	34.79	1147146.54
OCIA domain-containing protein 1	Ociad1	77.88	356928.52
Ogdhl protein	Ogdhl	2.78	2270.76
Oligonucleotide/oligosaccharide-binding fold-containing protein 1	Obfc1	11.66	10818.81
Oligoribonuclease, mitochondrial	Rexo2	36.27	210680.36
Oligosaccharyltransferase complex subunit OSTC	Ostc	53.14	144584.87
Open reading frame 19	ORF19	7.18	25153.28
O-phosphoseryl-tRNA(Sec) selenium transferase	Sepsecs	4.1	45111.77
Opioid growth factor receptor	Ogfr	33.32	47066.92
Optic atrophy 3 protein homolog	Opa3	14.5	11651.94
Optineurin	Optn	8.46	1487.92
Origin recognition complex subunit 2	Orc2l	20.76	23570.62
Origin recognition complex subunit 3	Orc3l	4.91	11676.01
Origin recognition complex subunit 4	Orc4l	6.25	53488.09
Origin recognition complex subunit 5	Orc5l	8.19	8363.87
Origin recognition complex, subunit 1-like (S.cereviaiae)	Orc1l	5.47	7311.03
Origin recognition complex, subunit 6-like (S. cerevisiae)	Orc6l	18.99	6587.72
ORM1-like protein 2	Ormdl2		110044.48
ORM1-like protein 3	Ormdl3	12	66612.59
Ornithine aminotransferase, mitochondrial	Oat	44.05	1393327.19
Ornithine decarboxylase	Odc1	183.75	172125.74
Ortholog of human fructosamine-3-kinase-related protein FN3KRP	RP23-293H17.3		15699.1
Osteoclast-stimulating factor 1	Ostf1	18.6	235803.45
Ott protein	Ott		8800.38
OTU domain containing 7B	Otud7b	7.8	907.31
OTU domain-containing protein 6B	Otud6b	16.23	126543.64
Otud4 protein	Otud4	40.61	50430.23
Ovarian cancer-associated gene 2 protein homolog	Ovca2	9.38	305422.71
Oxidoreductase HTATIP2	Htatip2	5.22	15763.59
Oxidoreductase NAD-binding domain-containing protein 1	Oxnad1	3.66	7313.84
Oxysterol-binding protein	Osbpl8	4.4	3598.6
Oxysterol-binding protein 1	Osbp	12.36	21440.04
Oxysterol-binding protein-related protein 11	Osbpl11	5.59	3648.55
Oxysterol-binding protein-related protein 2	Osbpl2	17.49	873.6
Oxysterol-binding protein-related protein 9	Osbpl9	14.58	9326.9
p21 (CDKN1A)-activated kinase 3	Pak3	3.69	8588.78
p21-activated protein kinase-interacting protein 1	Pak1ip1	29.56	60712.88
p53 and DNA damage-regulated protein 1	Pdrg1	60.09	58966.87
Paired amphipathic helix protein Sin3a	Sin3a	13.89	23501.08
Paired amphipathic helix protein Sin3b	Sin3b	14.03	820.15
Paired mesoderm homeobox protein 1	Prrx1	8.89	28568.28
Paired related homeobox 2	Prrx2	38.1	19759.7
Palladin	Palld	5.42	15948.97
Pallidin	Pldn	4.95	31250.7
Palmitoyl-protein thioesterase 1	Ppt1	16.66	3708.58
Pantothenate kinase 4	Pank4		690.64
Papillary renal cell carcinoma-associated protein	Prcc	22.49	16254.1
Parafibromin	Cdc73	12.99	113470.91
Paralemmin	Palm	13.51	3179.68
Paralemmin-2	Palm2	1.73	8639.33
Paraspeckle component 1	Pspc1	11.12	194714.82
Parathymosin	Ptms	87.87	244531.17
Parkinson disease 7 domain-containing protein 1	Pddc1		51053.91
Partitioning defective 3 homolog	Pard3		1638.23
Partner of Y14 and mago	Wibg		78360.04
Paxillin	Pxn	16.03	36454.34
PAX-interacting protein 1	Paxip1	15.26	846.06
Pb1 protein	Pbrm1	10.19	14529.73
PC4 and SFRS1-interacting protein	Psip1	27.27	357842.99
Pccb protein	Pccb	6.36	5853.15
PCF11	Pcf11	6.16	5232.59
PCI domain-containing protein 2	Pcid2	14.81	57748.92
PDZ and LIM domain protein 1	Pdlim1	63.25	782936.36
PDZ and LIM domain protein 2	Pdlim2	15.82	16408.34
PDZ and LIM domain protein 7	Pdlim7	28.24	58402.88
PDZ domain containing 8	Pdzd8	8.59	1306.74
PDZ domain-containing protein 11	Pdzd11	30.81	30035.76
PDZ domain-containing protein GIPC1	Gipc1	8.58	5244.88
Peflin	Pef1	15.74	207382.49
Pentatricopeptide repeat-containing protein 1	Ptcd1		1402.56
Pentatricopeptide repeat-containing protein 2	Ptcd2	12.61	7044.87
Pentatricopeptide repeat-containing protein 3, mitochondrial	Ptcd3	32.89	40842.25
Peptide methionine sulfoxide reductase	Msra		2716.77
Peptidylprolyl cis/trans isomerase, NIMA-interacting 1-like	Pin1l	3.23	26334.59
Peptidyl-prolyl cis-trans isomerase A	Ppia		16319873.45
Peptidyl-prolyl cis-trans isomerase B	Ppib	178.24	5105195.27
Peptidyl-prolyl cis-trans isomerase C	Ppic	38.7	241399.49
Peptidyl-prolyl cis-trans isomerase E	Ppie	22.31	39058.35
Peptidyl-prolyl cis-trans isomerase FKBP1A	Fkbp1a	140.82	1387656.15
Peptidyl-prolyl cis-trans isomerase G	Ppig	9.47	16675.29
Peptidyl-prolyl cis-trans isomerase H	Ppih	2.87	282984.56
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	Pin1	15.24	639496.2
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4	Pin4		326569.06
Peptidyl-prolyl cis-trans isomerase SDCCAG10	Sdccag10	7.03	27725.54
Peptidyl-prolyl cis-trans isomerase, mitochondrial	Ppif	12.25	61437.77
Peptidyl-prolyl cis-trans isomerase-like 1	Ppil1	45.65	383966.77
Peptidyl-prolyl cis-trans isomerase-like 2	Ppil2	17.65	19440.5
Peptidyl-prolyl cis-trans isomerase-like 3	Ppil3	20.94	164853.34
Peptidyl-prolyl cis-trans isomerase-like 4	Ppil4	9.55	29290.02
Peptidylprolyl isomerase domain and WD repeat containing 1	Ppwd1	5.35	12462.1
Peptidyl-tRNA hydrolase 2, mitochondrial	Ptrh2	11.45	1689412.52
Pericentrin	Pcnt	9.72	9356.01
Pericentriolar material 1 protein	Pcm1	7.92	1994.31
Periodic tryptophan protein 1 homolog	Pwp1	27.06	116174.58
Periodic tryptophan protein 2 homolog	Pwp2	27.27	39305.99
Peripheral plasma membrane protein CASK	Cask	4.33	14792.3
Periphilin-1	Pphln1		4164.73
Perlecan (Heparan sulfate proteoglycan 2)	Hspg2	47.45	3379.69
Peroxidasin homolog	Pxdn	28.4	28518.4
Peroxiredoxin-1	Prdx1	189.13	11386577.83
Peroxiredoxin-2	Prdx2	100.79	2115847.59
Peroxiredoxin-4	Prdx4	77.88	1236776.46
Peroxiredoxin-5, mitochondrial	Prdx5	78.55	1961713.21
Peroxiredoxin-6	Prdx6		3614724.17
Peroxisomal 3,2-trans-enoyl-CoA isomerase	Peci	21.69	59221.3
Peroxisomal biogenesis factor 19	Pex19	8.95	18170.56
Peroxisomal carnitine O-octanoyltransferase	Crot	8.55	39748.43
Peroxisomal membrane protein 11B	Pex11b	3.21	37813.95
Peroxisomal membrane protein PEX14	Pex14	14.08	121320.27
Peroxisomal membrane protein PEX16	Pex16	6.41	6770.66
Peroxisomal membrane protein PMP34	Slc25a17	35.23	14821.09
Peroxisomal N(1)-acetyl-spermine/spermidine oxidase	Paox		2744.46
Peroxisomal targeting signal 1 receptor	Pex5	16.54	14347.16
Peroxisomal trans-2-enoyl-CoA reductase	Pecr	5.1	85398.75
Peroxisome biogenesis factor 1	Pex1	4.4	460.59
Peroxisome biogenesis factor 10	Pex10		8646.59
PERQ amino acid-rich with GYF domain-containing protein 2	Gigyf2	7.82	32315.74
Pescadillo homolog	Pes1	40.68	341926.06
PEST proteolytic signal-containing nuclear protein	Pcnp	20.11	666819.26
PHD finger protein 10	Phf10	33.09	1584.55
PHD finger protein 14	Phf14	3.77	5373.34
PHD finger protein 2	Phf2	7.08	2925.9
PHD finger protein 23	Phf23	22.8	2926.31
PHD finger protein 6	Phf6	9.46	38969.47
PHD finger-like domain-containing protein 5A	Phf5a	70.87	345276.72
Phenylalanyl-tRNA synthetase alpha chain	Farsa	35.81	503355.71
Phenylalanyl-tRNA synthetase beta chain	Farsb		402427.29
Phenylalanyl-tRNA synthetase, mitochondrial	Fars2	3.69	4257.54
Phf3 protein	Phf3	9.52	189.85
PH-interacting protein	Phip	6.5	9961.38
Phosducin-like protein	Pdcl	5.66	11541.61
Phosducin-like protein 3	Pdcl3	32.32	236582.96
Phosphatase and actin regulator 4	Phactr4	13.67	12041.09
Phosphate carrier protein, mitochondrial	Slc25a3	286.16	3021158.53
Phosphatidylethanolamine-binding protein 1	Pebp1	186.25	3542220.51
Phosphatidylinositide phosphatase SAC1	Sacm1l		37321.84
Phosphatidylinositide phosphatase SAC2	Inpp5f	4.69	534.36
Phosphatidylinositol 3-kinase catalytic subunit type 3	Pik3c3	3.56	452.59
Phosphatidylinositol 3-kinase regulatory subunit alpha	Pik3r1	10.17	4715.29
Phosphatidylinositol 4-kinase beta	Pi4kb	14.46	3428.16
Phosphatidylinositol 4-kinase type 2-alpha	Pi4k2a	9.28	2155.1
Phosphatidylinositol glycan anchor biosynthesis class U protein	Pigu	12.57	3089.6
Phosphatidylinositol transfer protein alpha isoform	Pitpna	39.72	629308.47
Phosphatidylinositol transfer protein beta isoform	Pitpnb	51.04	11150.78
Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase PTEN	Pten	10.63	7313.73
Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 2	Inppl1	52.28	57531.18
Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing alpha polypeptide	Pik3c2a	6.81	3949.26
Phosphatidylinositol-5-phosphate 4-kinase type-2 beta	Pip4k2b	11.96	10437.17
Phosphatidylinositol-binding clathrin assembly protein	Picalm	42.76	288340.96
Phosphatidylinositol-glycan biosynthesis class X protein	Pigx	7.73	4942.46
Phosphatidylserine decarboxylase proenzyme	Pisd	19.55	17228.29
Phosphoacetylglucosamine mutase	Pgm3	3.57	39146.2
Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	Pck2	15.8	241197.17
Phosphofurin acidic cluster sorting protein 1	Pacs1	7.74	26496.58
Phosphoglucomutase-2	Pgm2	14.18	125288.36
Phosphoglycerate kinase 1	Pgk1		8520424.37
Phosphoglycerate kinase 2	Pgk2		17216.99
Phosphoglycerate mutase 1	Pgam1		8526669.4
Phosphoglycerate mutase family member 5	Pgam5	33.41	551974.91
Phosphoglycolate phosphatase	Pgp	28.78	246924.31
Phosphoinositide 3-kinase regulatory subunit 4	Pik3r4	5.06	40393.56
Phospholipase A2, activating protein	Plaa	11.97	75272.79
Phospholipase D3	Pld3	14.07	20132.62
Phospholipid hydroperoxide glutathione peroxidase, mitochondrial	Gpx4	74.7	243862.88
Phospholipid scramblase 1	Plscr1	17.59	418873.47
Phospholipid scramblase 2	Plscr2	23.78	14619.46
Phospholipid scramblase 3	Plscr3	14.34	38498.9
Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	Lhpp	7.54	84637.61
Phosphomannomutase 1	Pmm1	42.6	142762.35
Phosphomannomutase 2	Pmm2	21.3	431568.77
Phosphomevalonate kinase	Pmvk	7.69	51406.11
Phosphopantothenate--cysteine ligase	Ppcs	6.22	25195.54
Phosphoribosyl pyrophosphate synthetase-associated protein 1	Prpsap1		487494.11
Phosphoribosyl pyrophosphate synthetase-associated protein 2	Prpsap2	11.23	121658.23
Phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoribosylaminoimidazole, succinocarboxamide synthetase	Paics	88.64	1375060.45
Phosphoribosylformylglycinamidine synthase	Pfas	11.74	239271.01
Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform	Phka1	5.86	2675.36
Phosphorylated adapter RNA export protein	Phax	10.98	13916.47
Phosphoserine aminotransferase	Psat1	224.43	4336395.75
Phosphoserine phosphatase	Psph	35.2	3259255.51
Phosphotriesterase-related protein	Pter	2.3	26758.83
Phostensin	2310014H01Rik	19.72	35318.6
Pigment epithelium-derived factor	Serpinf1	186.37	44523.53
PIH1 domain-containing protein 1	Pih1d1	21.58	212450.7
Pik3cb protein	Pik3cb	9.3	528.36
Pinin	Pnn	33.99	137917.24
Pirin	Pir		45906.72
Pitpnb protein	Pitpnb		476552.64
PITSLRE serine/threonine-protein kinase CDC2L1	Cdc2l1		44319.42
Pituitary tumor-transforming gene 1 protein-interacting protein	Pttg1ip	128.64	85528.52
PKHD domain-containing transmembrane protein C17orf101 homolog	RP23-349B15.2		29602.44
Placenta-specific gene 8 protein	Plac8	270.3	3444150.79
Plakophilin-4	Pkp4	17.04	20625.62
Plasminogen activator inhibitor 1	Serpine1	69.94	16943.79
Plasminogen activator inhibitor 1 RNA-binding protein	Serbp1	78.92	3884268.54
Plastin-2	Lcp1	2.77	3961.17
Plastin-3	Pls3	70.89	1118085.7
Platelet-activating factor acetylhydrolase IB subunit alpha	Pafah1b1	27.46	385302.35
Platelet-activating factor acetylhydrolase IB subunit beta	Pafah1b2	25.55	848806.38
Platelet-activating factor acetylhydrolase IB subunit gamma	Pafah1b3	27.66	485639.77
Pleckstrin homology domain-containing family F member 1	Plekhf1	8.82	557070.76
Pleckstrin homology domain-containing family G member 3	Plekhg3	7.29	1322.51
Pleckstrin homology domain-containing family H member 2	Plekhh2		2938.47
Pleckstrin homology domain-containing family O member 2	Plekho2	32.24	91018.46
Pleckstrin homology-like domain family A member 3	Phlda3	73.66	59671.57
Pleckstrin homology-like domain family B member 1	Phldb1	29.37	35808.81
Pleckstrin homology-like domain family B member 2	Phldb2	35.06	50546.43
Plectin-1	Plec1	100.36	135.27
Plectin-1	Plec1	100.49	558.29
Plectin-1	Plec1	100.24	10107.64
Plectin-1	Plec1	97.24	2732876.72
Pleiotropic regulator 1	Plrg1	39.05	152437.05
Plexin-A1	Plxna1	56.07	10491.53
Pogo transposable element with ZNF domain	Pogz	7.18	28552.36
Poliovirus receptor-related protein 2	Pvrl2	7.78	4395.54
Polr1c protein	Polr1c	73.2	276147.8
Poly [ADP-ribose] polymerase 1	Parp1		6776.07
Poly [ADP-ribose] polymerase 12	Parp12	9.84	14477.1
Poly [ADP-ribose] polymerase 2	Parp2	8.12	40428.1
Poly(A) polymerase alpha	Papola	26.18	18574
Poly(A)-specific ribonuclease PARN	Parn		45054.43
Poly(rC)-binding protein 1	Pcbp1	151.4	2331371.76
Poly(rC)-binding protein 2	Pcbp2		4549368.63
Poly(rC)-binding protein 3	Pcbp3	13.91	17196.06
Poly(rC)-binding protein 4	Pcbp4	45.74	23782.7
Poly(U)-binding-splicing factor PUF60	Puf60	137.5	511136.81
Polyadenylate-binding protein 1	Pabpc1	768.45	2608754.27
Polyadenylate-binding protein 2	Pabpn1	28.52	355230.61
Polyadenylate-binding protein-interacting protein 1	Paip1		187941.65
Polyadenylate-binding protein-interacting protein 2	Paip2	23.22	33716.49
Polyamine-modulated factor 1	Pmf1	43.2	29261.47
Polycomb protein EED	Eed	24.81	29266.82
Polycomb protein Suz12	Suz12	18.16	20345.02
Polycystin-2 delta7 variant	Pkd2	19.37	613.01
Polyglutamine-binding protein 1	Pqbp1	15.35	77401.44
Polyhomeotic-like 2 (Drosophila)	Phc2	31.01	10023.48
Polymerase (RNA) I polypeptide D	Polr1d		1726390.23
Polymerase (RNA) II (DNA directed) polypeptide C	Polr2c	9.8	113973.87
Polymerase delta-interacting protein 2	Poldip2	35.06	142619.16
Polymerase delta-interacting protein 3	Poldip3	64.1	335531.66
Polymerase I and transcript release factor	Ptrf	67.13	1736035.32
Polypeptide N-acetylgalactosaminyltransferase 10	Galnt10	22.3	5093.62
Polypyrimidine tract-binding protein 2	Ptbp2	19.16	356190.37
Polyribonucleotide nucleotidyltransferase 1, mitochondrial	Pnpt1	9.55	18371.05
Ppfia1 protein	Ppfia1		13643.62
PPPDE peptidase domain-containing protein 2	Pppde2	26.28	17954.75
PRA1 family protein 2	Praf2	19.34	173968.66
PRA1 family protein 3	Arl6ip5	132.26	1504766.95
Prefoldin 4	Pfdn4	12.5	952497.2
Prefoldin subunit 1	Pfdn1	31.16	1591020.55
Prefoldin subunit 2	Pfdn2	46.86	1016354.57
Prefoldin subunit 3	Vbp1	23.42	368069.18
Prefoldin subunit 5	Pfdn5		1259899.29
Prefoldin subunit 6	Pfdn6	47.38	354559.37
Pre-mRNA 3'-end-processing factor FIP1	Fip1l1	22.58	58053.1
Pre-mRNA branch site protein p14	Sf3b14	37.65	393041.32
Pre-mRNA-processing factor 17	Cdc40	6.52	7023.02
Pre-mRNA-processing factor 19	Prpf19	112.45	1381669.31
Pre-mRNA-processing factor 40 homolog A	Prpf40a	23.84	106549.31
Pre-mRNA-processing factor 6	Prpf6		37018.48
Pre-mRNA-processing-splicing factor 8	Prpf8	109.74	253218.5
Pre-mRNA-splicing factor 38A	Prpf38a	14.89	124421.19
Pre-mRNA-splicing factor 38B	Prpf38b	25.61	50227.01
Pre-mRNA-splicing factor CWC22 homolog	Cwc22	87.57	62506.37
Pre-mRNA-splicing factor ISY1 homolog	Isy1	32.46	70626.7
Pre-mRNA-splicing factor RBM22	Rbm22	15.51	62683.55
Pre-mRNA-splicing factor SPF27	Bcas2	30.5	382555.02
Pre-mRNA-splicing factor SYF1	Xab2	20.51	40431.31
Pre-mRNA-splicing factor SYF2	Syf2	13.49	14156.03
Pre-mRNA-splicing regulator WTAP	Wtap	13.04	16357.82
Prenylated Rab acceptor protein 1	Rabac1	37.96	23405.71
Prenylcysteine oxidase	Pcyox1	13.37	38921.25
Prenylcysteine oxidase-like	Pcyox1l	2.39	15145.05
Pre-rRNA-processing protein TSR1 homolog	Tsr1	65.29	160663.43
Pre-rRNA-processing protein TSR2 homolog	Tsr2	11.61	76334.49
Presenilin-1	Psen1	14.28	8384.21
Presequence protease, mitochondrial	Pitrm1	30.2	108771.49
PRKC apoptosis WT1 regulator protein	Pawr	15.34	78289.26
Probable arginyl-tRNA synthetase, mitochondrial	Rars2	5.98	9771.68
Probable ATP-dependent RNA helicase DDX10	Ddx10	13.8	36399.97
Probable ATP-dependent RNA helicase DDX11	Ddx11	8.31	2741.69
Probable ATP-dependent RNA helicase DDX17	Ddx17	19.47	238286.09
Probable ATP-dependent RNA helicase DDX20	Ddx20	14.08	43922.05
Probable ATP-dependent RNA helicase DDX27	Ddx27	51.93	189637.03
Probable ATP-dependent RNA helicase DDX46	Ddx46	19.33	184738.27
Probable ATP-dependent RNA helicase DDX47	Ddx47	32.13	128553.97
Probable ATP-dependent RNA helicase DDX49	Ddx49	20.44	50168.28
Probable ATP-dependent RNA helicase DDX5	Ddx5	112.28	3122941.36
Probable ATP-dependent RNA helicase DDX56	Ddx56	16.32	151144.14
Probable ATP-dependent RNA helicase DDX58	Ddx58	11.39	28014.33
Probable ATP-dependent RNA helicase DDX6	Ddx6	21.1	479570.97
Probable ATP-dependent RNA helicase DHX36	Dhx36	15.03	46433.33
Probable ATP-dependent RNA helicase YTHDC2	Ythdc2		1363.93
Probable cysteinyl-tRNA synthetase, mitochondrial	Cars2	10.71	14191.13
Probable dimethyladenosine transferase	Dimt1l		221752.35
Probable D-tyrosyl-tRNA(Tyr) deacylase 2		2.59	38098.28
Probable E3 ubiquitin-protein ligase HECTD3	Hectd3	3.89	4880.21
Probable E3 ubiquitin-protein ligase HERC2	Herc2	8.28	1399.25
Probable E3 ubiquitin-protein ligase HERC4	Herc4	12.18	10497.7
Probable E3 ubiquitin-protein ligase MYCBP2	Mycbp2	8.39	476.64
Probable ergosterol biosynthetic protein 28	ORF11	14.4	93147.98
Probable fructose-2,6-bisphosphatase TIGAR	Tigar	4.17	95367.63
Probable global transcription activator SNF2L1	Smarca1		19750.26
Probable glutamyl-tRNA synthetase, mitochondrial	Ears2	5.36	1807.08
Probable glutathione peroxidase 8	Gpx8		104917.78
Probable helicase with zinc finger domain	Helz	7.52	983.16
Probable histidyl-tRNA synthetase, mitochondrial	Hars2	5.28	19486.05
Probable histone-lysine N-methyltransferase ASH1L	Ash1l	11.48	125.09
Probable histone-lysine N-methyltransferase NSD2	Whsc1	31.19	1941.62
Probable JmjC domain-containing histone demethylation protein 2C	Jmjd1c	10.62	373.19
Probable leucyl-tRNA synthetase, mitochondrial	Lars2		11631.38
Probable methyltransferase C20orf7 homolog, mitochondrial		3.08	28216.3
Probable O-sialoglycoprotein endopeptidase	Osgep		18153.69
Probable peptidyl-tRNA hydrolase	Ptrh1	24	47394.48
Probable protein BRICK1		53.63	10482.93
Probable ribosome biogenesis protein NEP1	Emg1	65.58	237641.72
Probable ribosome biogenesis protein RLP24	BC003885	25.84	79538.34
Probable RNA-binding protein 19	Rbm19	15.61	44516.16
Probable RNA-binding protein EIF1AD	Eif1ad	38.81	187540
Probable rRNA-processing protein EBP2	Ebna1bp2	23.96	725363.17
Probable saccharopine dehydrogenase	Sccpdh	14.65	57833.14
Probable threonyl-tRNA synthetase 2, cytoplasmic	Tarsl2	6.36	13774.73
Probable transcription factor PML	Pml	8.29	3181.13
Probable tRNA(His) guanylyltransferase	Thg1l	7.64	10132.19
Probable U3 small nucleolar RNA-associated protein 11	Utp11l	28.21	234290.06
Probable ubiquitin carboxyl-terminal hydrolase CYLD	Cyld	7.55	7512.58
Processing of 1, ribonuclease P/MRP family, (S. cerevisiae)	Pop1	35.52	70125.72
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	Plod1	19.1	24587.5
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	Plod2	8.08	19549.53
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	Plod3	37.28	83637.4
Procr protein	Procr	16.08	5695.89
Profilin-1	Pfn1	880.15	20134268.5
Profilin-2	Pfn2		574442.68
Profilin-2	Pfn2	268.21	3872493.26
Programmed cell death 6 interacting protein	Pdcd6ip	31.6	516154.03
Programmed cell death protein 10	Pdcd10	8.36	237086.33
Programmed cell death protein 2	Pdcd2	16.72	16882.74
Programmed cell death protein 5	Pdcd5	30.44	869748.16
Programmed cell death protein 6	Pdcd6	48.3	541749.79
Prohibitin	Phb	34.36	3860824.12
Prohibitin-2	Phb2	93.74	2198540.75
Prolactin regulatory element-binding protein	Preb	14.51	44430.6
Prolactin-2C2	Prl2c2		124235.42
Proliferating cell nuclear antigen	Pcna	203.96	5077287.27
Proliferation-associated protein 2G4	Pa2g4	177.21	2977487.68
Proline-, glutamic acid- and leucine-rich protein 1	Pelp1	19.74	131595.24
Proline/serine-rich coiled-coil protein 1	Psrc1	17.44	1286.37
Proline-rich AKT1 substrate 1	Akt1s1	27.74	10801.36
Prolow-density lipoprotein receptor-related protein 1	Lrp1	32.07	38698.19
Prolyl 4-hydroxylase subunit alpha-1	P4ha1		819079.09
Prolyl 4-hydroxylase subunit alpha-2	P4ha2	15.56	111660.34
Prolyl endopeptidase	Prep	43.85	303280.66
Prolyl endopeptidase-like	Prepl		7840.1
Prostacyclin synthase	Ptgis	12.53	74874.55
Prostaglandin E synthase	Ptges	48.15	846148.25
Prostaglandin E synthase 2	Ptges2	12.41	63125.07
Prostaglandin E synthase 3	Ptges3	51.54	2345777.81
Prostaglandin F2 alpha receptor regulatory protein	Ptgfrn	21.58	16393.3
Prostaglandin G/H synthase 1	Ptgs1	135.04	482764.89
Prostaglandin reductase 1	Ptgr1	3.87	56637.21
Proteasomal ubiquitin receptor ADRM1	Adrm1	63.71	224506.83
Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 10	Psmd10	18.69	161751.05
Proteasome activator complex subunit 1	Psme1	52.45	1688543.32
Proteasome activator complex subunit 3	Psme3	53.89	848714.42
Proteasome activator complex subunit 4	Psme4	17.4	39979.54
Proteasome assembly chaperone 1	Psmg1	22.41	240017.75
Proteasome assembly chaperone 2	Psmg2	12.97	158033.72
Proteasome assembly chaperone 3	Psmg3	16.15	481130.14
Proteasome assembly chaperone 4	Psmg4	45.46	493689.22
Proteasome inhibitor PI31 subunit	Psmf1	8.1	74235.99
Proteasome maturation protein	Pomp		261358.41
Proteasome subunit alpha type	Psma2	138.31	1929149.36
Proteasome subunit alpha type-1	Psma1	101	2956200.54
Proteasome subunit alpha type-3	Psma3	10.18	3110616.79
Proteasome subunit alpha type-4	Psma4	197.52	3016179.6
Proteasome subunit alpha type-5	Psma5	63.51	2955474.07
Proteasome subunit alpha type-6	Psma6	159.24	2855189.18
Proteasome subunit alpha type-7	Psma7	197.62	3461193.82
Proteasome subunit beta type-1	Psmb1	121.51	2230850.82
Proteasome subunit beta type-10	Psmb10	27.82	264144.4
Proteasome subunit beta type-2	Psmb2	105.35	3269722.64
Proteasome subunit beta type-3	Psmb3	294.25	2112217.76
Proteasome subunit beta type-4	Psmb4	215.39	2020054.14
Proteasome subunit beta type-5	Psmb5	44.41	1463921.71
Proteasome subunit beta type-6	Psmb6	138.39	1600420.22
Protein AATF	Aatf	32.93	98579.35
Protein archease	Zbtb8os		35137.43
Protein arginine N-methyltransferase 1	Prmt1	211.84	1626299.52
Protein arginine N-methyltransferase 3	Prmt3	17.54	90955.95
Protein arginine N-methyltransferase 5	Prmt5	30.47	151376.32
Protein arginine N-methyltransferase 6	Prmt6	11.92	18134.69
Protein ariadne-1 homolog	Arih1	13.93	50472.24
Protein ariadne-2 homolog	Arih2	12.79	6509.14
Protein bicaudal D homolog 2	Bicd2	11.96	25893.81
Protein BUD31 homolog	Bud31		208639.12
Protein C10	Grcc10	24.84	108503.38
Protein C16orf88 homolog	Tsg118	19.1	15322.84
Protein C20orf11 homolog	2310003C23Rik		62280.53
Protein canopy homolog 2	Cnpy2	40.84	493039.33
Protein canopy homolog 3	Cnpy3	19.5	41214.17
Protein canopy homolog 4	Cnpy4	9.73	104175.1
Protein cappuccino	Cno	9.05	37609.02
Protein CASC3	Casc3	15.93	2742.01
Protein CDV3	Cdv3	53.24	186905.11
Protein chibby homolog 1	Cby1	11.99	13338.48
Protein CIAO1	Ciao1	6.2	30742.42
Protein CIP2A	Kiaa1524	17.55	31403.98
Protein cornichon homolog 4	Cnih4	13.17	437406.98
Protein CREG1	Creg1	15.56	51081.03
Protein CutA	Cuta	34.77	728705.37
Protein CWC15 homolog	Cwc15	26.98	149566.05
Protein CYR61	Cyr61	204.19	11135.28
Protein DDI1 homolog 2	Ddi2	14.65	21894.98
Protein DEK	Dek	35.61	410370.17
Protein DGCR8	Dgcr8	13.64	1293.12
Protein diaphanous homolog 2	Diaph2	3.01	6162.6
Protein diaphanous homolog 3	Diaph3	18.19	11308.89
Protein disulfide-isomerase	P4hb		5037154.12
Protein disulfide-isomerase A3	Pdia3	153.12	5283417.07
Protein disulfide-isomerase A4	Pdia4	47.5	896957.79
Protein disulfide-isomerase A5	Pdia5	9.6	46325.85
Protein disulfide-isomerase A6	Pdia6	107.52	1261891.41
Protein disulfide-isomerase TMX3	Tmx3		39657.46
